date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2016",,?,Czech Republic,7133.0,Sl. Liberec U21 ,256002,-,Lukáš Kaiser,15/16,Austria,2475.0,Union Perg 
"Jul 1, 2015",,-,Czech Republic,697.0,Slovan Liberec ,256002,-,Lukáš Kaiser,15/16,Czech Republic,7133.0,Sl. Liberec U21 
"Nov 29, 2014",,-,Czech Republic,15767.0,FC Slovan Liberec U19 ,256002,-,Lukáš Kaiser,14/15,Czech Republic,697.0,Slovan Liberec 
,,,,,,375815,,,,,,
"Jan 1, 2016",,-,Czech Republic,37466.0,Hr. Králové U21 ,375817,-,Lukas Krajak,15/16,Czech Republic,1897.0,Hradec Králové 
"Jul 1, 2015",,-,Czech Republic,37466.0,Hr. Králové U21 ,375818,-,Jan Vobejda,15/16,Czech Republic,1897.0,Hradec Králové 
"Oct 30, 2014",,-,Czech Republic,515.0,Unattached ,30732,600 Th. €,Levan Kenia,14/15,,62.0,Slavia Prag 
"Jul 1, 2014",,-,Germany,38.0,F. Düsseldorf ,30732,600 Th. €,Levan Kenia,14/15,,515.0,Unattached 
"Jul 1, 2013",,400 Th. €,Ukraine,2477.0,Karpaty ,30732,"1,00 Mill. €",Levan Kenia,13/14,Germany,38.0,F. Düsseldorf 
"Aug 14, 2012",,Free transfer,Germany,33.0,FC Schalke 04 ,30732,300 Th. €,Levan Kenia,12/13,Ukraine,2477.0,Karpaty 
"Jul 1, 2008",,-,Germany,1463.0,Schalke 04 U19 ,30732,300 Th. €,Levan Kenia,08/09,Germany,33.0,FC Schalke 04 
"Jan 1, 2008",,500 Th. €,Georgia,6365.0,Lokomotivi ,30732,-,Levan Kenia,07/08,Germany,1463.0,Schalke 04 U19 
"Jul 1, 2007",,-,Georgia,19698.0,Lok. Tiflis U19 ,30732,-,Levan Kenia,07/08,Georgia,6365.0,Lokomotivi 
"Jul 1, 2015",,Free transfer,Czech Republic,814.0,FK Teplice ,256017,100 Th. €,Daniel Richter,15/16,,75.0,Unknown 
"Jul 1, 2015",,-,Czech Republic,6201.0,Ostrava U21 ,256020,-,Jakub Sasinka,15/16,Czech Republic,377.0,Banik Ostrava 
"Jan 1, 2014",,-,Czech Republic,15762.0,Ostrava U19 ,256020,-,Jakub Sasinka,13/14,Czech Republic,6201.0,Ostrava U21 
"Aug 28, 2015",,?,Czech Republic,814.0,FK Teplice ,103957,200 Th. €,Benjámin Balázs,15/16,Hungary,708.0,Újpest FC 
"Jan 1, 2015",,?,Portugal,2420.0,Vit. Guimarães ,103957,300 Th. €,Benjámin Balázs,14/15,Czech Republic,814.0,FK Teplice 
"Jul 3, 2014",,Free transfer,Hungary,6056.0,Kaposvári RFC ,103957,300 Th. €,Benjámin Balázs,14/15,Portugal,2420.0,Vit. Guimarães 
"Jan 1, 2009",,-,Hungary,17121.0,Kaposvar U19 ,103957,-,Benjámin Balázs,08/09,Hungary,6056.0,Kaposvári RFC 
"Jul 1, 2014",,Free transfer,Spain,26007.0,Olímpic Xàtiva ,239126,-,John Mosquera,14/15,Czech Republic,715.0,Bohemians 1905 
"Jul 1, 2013",,Free transfer,Spain,11259.0,CD Alcoyano ,239126,-,John Mosquera,13/14,Spain,26007.0,Olímpic Xàtiva 
"Jan 1, 2015",,Free transfer,Czech Republic,7975.0,FC Vysocina ,338967,-,Matej Mlakic,14/15,,75.0,Unknown 
"Aug 13, 2014",,?,Croatia,14443.0,NK Inter Zapresic U19 ,338967,-,Matej Mlakic,14/15,Czech Republic,7975.0,FC Vysocina 
"Jan 1, 2015",,-,Czech Republic,8751.0,Vik. Pilsen U21 ,147547,-,Dominik Hradecky,14/15,Czech Republic,941.0,Viktoria Plzen 
"Jul 1, 2013",,-,Czech Republic,13907.0,FC Viktoria Plzen U19 ,147547,-,Dominik Hradecky,13/14,Czech Republic,8751.0,Vik. Pilsen U21 
"Jan 1, 2016",,Loan,Czech Republic,5546.0,Mladá Boleslav ,367653,100 Th. €,Antonin Krapka,15/16,Czech Republic,6377.0,Ustí nad Labem 
"Mar 12, 2015",,-,Czech Republic,22729.0,Ml.Boleslav U21 ,367653,-,Antonin Krapka,14/15,Czech Republic,5546.0,Mladá Boleslav 
,,,,,,349740,,,,,,
"Jul 1, 2015",,Loan,Czech Republic,62.0,Slavia Prag ,349742,-,Lukas Fialka,15/16,Slovakia,35488.0,Skalica 
"Jan 1, 2015",,-,Czech Republic,14340.0,SK Slavia Prag U19 ,349742,-,Lukas Fialka,14/15,Czech Republic,62.0,Slavia Prag 
"Jan 1, 2016",,Free transfer,Czech Republic,814.0,FK Teplice ,349743,100 Th. €,Premysl Lips,15/16,,75.0,Unknown 
"Jan 1, 2015",,-,Czech Republic,12864.0,FK Teplice U21 ,349743,-,Premysl Lips,14/15,Czech Republic,814.0,FK Teplice 
"Feb 10, 2016",,?,Czech Republic,6541.0,Sl. Prague U21 ,209971,200 Th. €,Dame Diop,15/16,Czech Republic,5545.0,FC Zlin 
"Aug 3, 2014",,Free transfer,Armenia,4807.0,Shirak Gyumri ,209971,375 Th. €,Dame Diop,14/15,Czech Republic,62.0,Slavia Prag 
"Feb 21, 2013",,Free transfer,Russia,3719.0,Khimki ,209971,-,Dame Diop,12/13,Armenia,4807.0,Shirak Gyumri 
