date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jun 30, 2016",,End of loan,Ukraine,6996.0,Goverla ,177280,500 Th. €,Vitali Gemega,15/16,Ukraine,6249.0,Dynamo 2 Kyiv 
"Jul 17, 2015",,Loan,Ukraine,6249.0,Dynamo 2 Kyiv ,177280,150 Th. €,Vitali Gemega,15/16,Ukraine,6996.0,Goverla 
"Jul 1, 2011",,-,Ukraine,14281.0,Dynamo Kyiv U17 ,177280,-,Vitali Gemega,11/12,Ukraine,6249.0,Dynamo 2 Kyiv 
"Mar 1, 2016",,-,Ukraine,19742.0,Volyn Lutsk II ,425707,-,Artem Dudik,15/16,Ukraine,4482.0,Volyn Lutsk 
"Jul 14, 2015",,Free transfer,Ukraine,12302.0,Naftovyk ,221955,150 Th. €,Sergiy Shestakov,15/16,Ukraine,23611.0,Olimpik Donetsk 
"Jul 23, 2014",,Free transfer,Ukraine,37177.0,UkrAgroKom ,221955,-,Sergiy Shestakov,14/15,Ukraine,12302.0,Naftovyk 
"Mar 28, 2014",,Free transfer,Ukraine,2712.0,Nyva Ternopil ,221955,-,Sergiy Shestakov,13/14,Ukraine,37177.0,UkrAgroKom 
"Jul 1, 2013",,?,Ukraine,33209.0,FK Odessa ,221955,-,Sergiy Shestakov,13/14,Ukraine,2712.0,Nyva Ternopil 
"Jan 1, 2012",,?,Ukraine,75.0,Unknown ,221955,-,Sergiy Shestakov,11/12,,33209.0,FK Odessa 
"Jan 12, 2016",,Free transfer,Brazil,199.0,Corinthians ,259461,250 Th. €,Paulinho,15/16,Ukraine,10690.0,Zorya Lugansk 
"Dec 31, 2015",,End of loan,Brazil,10247.0,Portuguesa ,259461,250 Th. €,Paulinho,15/16,Brazil,199.0,Corinthians 
"Jul 6, 2015",,Loan,Brazil,199.0,Corinthians ,259461,250 Th. €,Paulinho,15/16,Brazil,10247.0,Portuguesa 
"May 31, 2015",,End of loan,Brazil,1442.0,Rio Claro FC ,259461,250 Th. €,Paulinho,14/15,Brazil,199.0,Corinthians 
"Jan 9, 2015",,Loan,Brazil,199.0,Corinthians ,259461,300 Th. €,Paulinho,14/15,Brazil,1442.0,Rio Claro FC 
"Dec 31, 2014",,End of loan,Brazil,1751.0,América-RN ,259461,300 Th. €,Paulinho,14/15,Brazil,199.0,Corinthians 
"Jul 16, 2014",,Loan,Brazil,199.0,Corinthians ,259461,300 Th. €,Paulinho,14/15,Brazil,1751.0,América-RN 
"Jan 1, 2013",,-,Brazil,14699.0,Corinthians U20 ,259461,-,Paulinho,12/13,Brazil,199.0,Corinthians 
"Jul 11, 2015",,Free transfer,Georgia,37760.0,Shukura ,165825,200 Th. €,Davit Khocholava,15/16,Ukraine,6992.0,Chornomorets 
"Jul 20, 2014",,?,Georgia,28971.0,Kolkheti Poti ,165825,100 Th. €,Davit Khocholava,14/15,Georgia,37760.0,Shukura 
"Jan 19, 2014",,?,Georgia,663.0,Dinamo Tbilisi ,165825,100 Th. €,Davit Khocholava,13/14,Georgia,28971.0,Kolkheti Poti 
"Jan 1, 2012",,-,Georgia,31555.0,Dinamo Tiflis II ,165825,-,Davit Khocholava,11/12,Georgia,663.0,Dinamo Tbilisi 
"Jul 1, 2011",,50 Th. €,Georgia,31990.0,FC Sasco ,165825,-,Davit Khocholava,11/12,Georgia,31555.0,Dinamo Tiflis II 
"Jun 30, 2011",,End of loan,Georgia,31560.0,Sioni Bolnisi II ,165825,-,Davit Khocholava,10/11,Georgia,31990.0,FC Sasco 
"Jan 1, 2011",,Loan,Georgia,31990.0,FC Sasco ,165825,-,Davit Khocholava,10/11,Georgia,31560.0,Sioni Bolnisi II 
"Jun 30, 2010",,End of loan,Georgia,30117.0,Metallurgist Rustavi U19 ,165825,-,Davit Khocholava,09/10,Georgia,31990.0,FC Sasco 
"Jan 1, 2010",,Loan,Georgia,31990.0,FC Sasco ,165825,-,Davit Khocholava,09/10,Georgia,30117.0,Metallurgist Rustavi U19 
"Jul 8, 2015",,Free transfer,Ukraine,29109.0,Girnyk-Sport ,107274,175 Th. €,Sergiy Chebotaev,15/16,Ukraine,18303.0,FK Oleksandria 
"Jul 16, 2014",,Free transfer,Ukraine,23634.0,FK Poltava ,107274,175 Th. €,Sergiy Chebotaev,14/15,Ukraine,29109.0,Girnyk-Sport 
"Jul 1, 2013",,?,Ukraine,16242.0,Gelios Kharkiv ,107274,175 Th. €,Sergiy Chebotaev,13/14,Ukraine,23634.0,FK Poltava 
"Feb 14, 2013",,?,Ukraine,10468.0,Stal Alchevsk ,107274,175 Th. €,Sergiy Chebotaev,12/13,Ukraine,16242.0,Gelios Kharkiv 
"Jan 1, 2008",,?,Ukraine,4482.0,Volyn Lutsk ,107274,-,Sergiy Chebotaev,07/08,Ukraine,10468.0,Stal Alchevsk 
"Sep 8, 2015",,-,Ukraine,515.0,Unattached ,104203,300 Th. €,Evgeni Starikov,15/16,,6992.0,Chornomorets 
"Jul 1, 2014",,-,Russia,6082.0,Zenit St. Petersburg II ,104203,300 Th. €,Evgeni Starikov,14/15,,515.0,Unattached 
"Jun 30, 2014",,End of loan,Russia,3691.0,Tom Tomsk ,104203,300 Th. €,Evgeni Starikov,13/14,Russia,6082.0,Zenit St. Petersburg II 
"Aug 2, 2013",,Loan,Russia,6082.0,Zenit St. Petersburg II ,104203,300 Th. €,Evgeni Starikov,13/14,Russia,3691.0,Tom Tomsk 
"Jun 30, 2013",,End of loan,Russia,1083.0,Rostov ,104203,300 Th. €,Evgeni Starikov,12/13,Russia,6082.0,Zenit St. Petersburg II 
"Sep 6, 2012",,Loan,Russia,6082.0,Zenit St. Petersburg II ,104203,-,Evgeni Starikov,12/13,Russia,1083.0,Rostov 
"Aug 1, 2012",,-,Russia,2113.0,career break ,104203,-,Evgeni Starikov,12/13,,6082.0,Zenit St. Petersburg II 
"Jan 1, 2012",,-,Russia,6082.0,Zenit St. Petersburg II ,104203,500 Th. €,Evgeni Starikov,11/12,,2113.0,career break 
"Dec 31, 2011",,End of loan,Russia,3691.0,Tom Tomsk ,104203,500 Th. €,Evgeni Starikov,11/12,Russia,6082.0,Zenit St. Petersburg II 
"Jan 1, 2010",,Loan,Russia,6082.0,Zenit St. Petersburg II ,104203,100 Th. €,Evgeni Starikov,09/10,Russia,3691.0,Tom Tomsk 
"Jan 1, 2009",,Free transfer,United States,44388.0,Stetson Hatters ,104203,-,Evgeni Starikov,08/09,Russia,6082.0,Zenit St. Petersburg II 
"Jan 1, 2007",,?,United States,75.0,Unknown ,104203,-,Evgeni Starikov,06/07,,44388.0,Stetson Hatters 
"Jul 1, 2012",,-,Ukraine,31565.0,PFK Oleksandria II ,244620,-,Vladyslav Levanidov,12/13,Ukraine,18303.0,PFK Oleksandria 
"Jan 20, 2016",,-,Ukraine,515.0,Unattached ,104590,200 Th. €,Rafael Forster,15/16,,10690.0,Zorya Lugansk 
"Dec 30, 2015",,-,Brazil,3197.0,Goiás EC ,104590,-,Rafael Forster,15/16,,515.0,Unattached 
