date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 1, 2010",,Free transfer,Hungary,27401.0,Nagyatádi FC ,194304,-,Dániel Pintér,10/11,Hungary,34527.0,Lábodi Medosz 
"Jun 30, 2010",,End of loan,Hungary,34529.0,Segesdi SE ,194304,-,Dániel Pintér,09/10,Hungary,27401.0,Nagyatádi FC 
"Dec 31, 2009",,End of loan,Hungary,34525.0,Böhönye KSE ,194304,-,Dániel Pintér,09/10,Hungary,27401.0,Nagyatádi FC 
"Aug 1, 2009",,Loan,Hungary,27401.0,Nagyatádi FC ,194304,-,Dániel Pintér,09/10,Hungary,34525.0,Böhönye KSE 
"Aug 1, 2006",,Free transfer,Hungary,6056.0,Kaposvári RFC ,194304,-,Dániel Pintér,06/07,Hungary,27401.0,Nagyatádi FC 
"Jul 1, 2010",,-,Hungary,11420.0,Bőcs KSC ,172035,-,Zsolt Matkó,10/11,,123.0,End of career 
"Jul 1, 2005",,Free transfer,Hungary,6049.0,Békéscsaba ,172035,-,Zsolt Matkó,05/06,Hungary,11420.0,Bőcs KSC 
"Feb 8, 2016",,Free transfer,Hungary,5378.0,Vasas FC ,72710,150 Th. €,János Lázok,15/16,Hungary,708.0,Újpest FC 
"Sep 24, 2014",,Free transfer,Hungary,12163.0,Paksi FC ,72710,200 Th. €,János Lázok,14/15,Hungary,5378.0,Vasas FC 
"Dec 31, 2013",,End of loan,Hungary,6055.0,ETO FC Győr  ,72710,300 Th. €,János Lázok,13/14,Hungary,12163.0,Paksi FC 
"Aug 2, 2013",,Loan,Hungary,12163.0,Paksi FC ,72710,300 Th. €,János Lázok,13/14,Hungary,6055.0,ETO FC Győr  
"Aug 31, 2012",,Free transfer,Hungary,634.0,MTK Budapest ,72710,250 Th. €,János Lázok,12/13,Hungary,12163.0,Paksi FC 
"Jul 4, 2012",,Free transfer,Germany,52.0,MSV Duisburg ,72710,250 Th. €,János Lázok,12/13,Hungary,634.0,MTK Budapest 
"Sep 1, 2011",,-,Germany,515.0,Unattached ,72710,400 Th. €,János Lázok,11/12,,52.0,MSV Duisburg 
"Aug 1, 2011",,-,Hungary,5378.0,Vasas SC ,72710,400 Th. €,János Lázok,11/12,,515.0,Unattached 
"Jun 30, 2010",,End of loan,Hungary,634.0,MTK Budapest ,72710,350 Th. €,János Lázok,09/10,Hungary,5378.0,Vasas SC 
"Feb 22, 2010",,Loan,Hungary,5378.0,Vasas SC ,72710,350 Th. €,János Lázok,09/10,Hungary,634.0,MTK Budapest 
"Jul 28, 2005",,?,Hungary,6049.0,Békéscsaba ,72710,-,János Lázok,05/06,Hungary,5378.0,Vasas SC 
"Jul 31, 2004",,?,Hungary,28567.0,Gyulai FC ,72710,-,János Lázok,04/05,Hungary,6049.0,Békéscsaba 
"Jul 1, 2013",,-,Austria,21371.0,Biberbach ,42503,-,Norbert Kovács,13/14,,123.0,End of career 
"Jul 1, 2010",,?,Austria,31081.0,Union Saxen ,42503,-,Norbert Kovács,10/11,Austria,21371.0,Biberbach 
"Jan 1, 2010",,?,Austria,25025.0,Ernsthofen ,42503,-,Norbert Kovács,09/10,Austria,31081.0,Union Saxen 
"Jul 1, 2009",,Free transfer,Austria,19831.0,Oed/Zeillern ,42503,-,Norbert Kovács,09/10,Austria,25025.0,Ernsthofen 
"Jul 1, 2008",,Free transfer,Germany,597.0,Borussia Fulda ,42503,-,Norbert Kovács,08/09,Austria,19831.0,Oed/Zeillern 
