date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",,?,Chile,13337.0,S. Morning ,88064,250 Th. €,Lucas Concistre,15/16,Chile,7020.0,CD Everton 
"Jan 1, 2015",,?,Guatemala,13047.0,CSD Municipal ,88064,250 Th. €,Lucas Concistre,14/15,Chile,13337.0,S. Morning 
"Jul 1, 2013",,?,Argentina,2154.0,Chacarita Jrs ,88064,250 Th. €,Lucas Concistre,13/14,Guatemala,13047.0,CSD Municipal 
"Jan 18, 2013",,Free transfer,Argentina,12454.0,CA Sarmiento ,88064,250 Th. €,Lucas Concistre,12/13,Argentina,2154.0,Chacarita Jrs 
"Jul 1, 2012",,?,Ecuador,19309.0,Independiente ,88064,250 Th. €,Lucas Concistre,12/13,Argentina,12454.0,CA Sarmiento 
"Jan 1, 2012",,?,Chile,14723.0,Ñublense ,88064,250 Th. €,Lucas Concistre,11/12,Ecuador,19309.0,Independiente 
"Jan 1, 2011",,?,Cyprus,3899.0,Anor. Famagusta ,88064,300 Th. €,Lucas Concistre,10/11,Chile,14723.0,Ñublense 
"Jul 1, 2010",,?,Argentina,7468.0,Olimpo ,88064,300 Th. €,Lucas Concistre,10/11,Cyprus,3899.0,Anor. Famagusta 
"Jul 1, 2009",,?,Argentina,1829.0,Instituto ,88064,-,Lucas Concistre,09/10,Argentina,7468.0,Olimpo 
"Jul 1, 2008",,?,Argentina,928.0,Platense ,88064,-,Lucas Concistre,08/09,Argentina,1829.0,Instituto 
"Jul 1, 2007",,?,Argentina,12454.0,CA Sarmiento ,88064,-,Lucas Concistre,07/08,Argentina,928.0,Platense 
"Jan 1, 2007",,?,Argentina,6062.0,Defensores de Belgrano ,88064,-,Lucas Concistre,06/07,Argentina,12454.0,CA Sarmiento 
"Jul 1, 2006",,?,Argentina,15378.0,Italiano ,88064,-,Lucas Concistre,06/07,Argentina,6062.0,Defensores de Belgrano 
"Jan 1, 2006",,?,Argentina,1771.0,Tristan Suarez ,88064,-,Lucas Concistre,05/06,Argentina,15378.0,Italiano 
"Jan 1, 2005",,-,Argentina,28661.0,CSD Tristan Suarez U20 ,88064,-,Lucas Concistre,04/05,Argentina,1771.0,Tristan Suarez 
"Jul 3, 2015",,Free transfer,Chile,14723.0,Ñublense ,74241,450 Th. €,Damián Frascarelli,15/16,Uruguay,861.0,Peñarol 
"Jul 1, 2014",,Free transfer,Uruguay,2419.0,River Plate ,74241,450 Th. €,Damián Frascarelli,14/15,Chile,14723.0,Ñublense 
"Jul 9, 2012",,Free transfer,Uruguay,10679.0,Bella Vista ,74241,300 Th. €,Damián Frascarelli,12/13,Uruguay,2419.0,River Plate 
"Jan 26, 2012",,Free transfer,Cyprus,829.0,Omonia Nikosia ,74241,350 Th. €,Damián Frascarelli,11/12,Uruguay,10679.0,Bella Vista 
"Jul 1, 2011",,?,Cyprus,8554.0,APOP Kinyras ,74241,350 Th. €,Damián Frascarelli,11/12,Cyprus,829.0,Omonia Nikosia 
"Jul 1, 2010",,?,Uruguay,14806.0,Cerro ,74241,250 Th. €,Damián Frascarelli,10/11,Cyprus,8554.0,APOP Kinyras 
"Jan 1, 2010",,?,Uruguay,10960.0,Español ,74241,-,Damián Frascarelli,09/10,Uruguay,14806.0,Cerro 
"Jan 1, 2009",,?,Uruguay,861.0,Peñarol ,74241,-,Damián Frascarelli,08/09,Uruguay,10960.0,Español 
"Jan 25, 2008",,?,Uruguay,7477.0,Miramar ,74241,-,Damián Frascarelli,07/08,Uruguay,861.0,Peñarol 
"Jul 1, 2015",,-,Netherlands,8994.0,EVV Echt ,4614,-,Kevin Van Dessel,15/16,,123.0,End of career 
"Jul 1, 2011",,Free transfer,Cyprus,8554.0,APOP Kinyras ,4614,300 Th. €,Kevin Van Dessel,11/12,Netherlands,8994.0,EVV Echt 
"Jul 1, 2010",,Free transfer,Netherlands,1426.0,VVV-Venlo ,4614,350 Th. €,Kevin Van Dessel,10/11,Cyprus,8554.0,APOP Kinyras 
