source,target,id,value,decile
England,Scotland,262,1.0,9
Brazil,Portugal,173,0.660305343511,9
Italy,Spain,169,0.645038167939,9
England,Spain,112,0.427480916031,9
Portugal,Spain,99,0.37786259542,9
Scotland,England,93,0.354961832061,9
Belgium,Netherlands,92,0.351145038168,9
France,Belgium,91,0.347328244275,9
Czech Republic,Slovakia,90,0.343511450382,9
England,France,90,0.343511450382,9
France,England,89,0.339694656489,8
Portugal,Brazil,89,0.339694656489,8
Italy,England,83,0.31679389313,8
England,Italy,82,0.312977099237,8
England,Belgium,81,0.309160305344,8
England,Netherlands,81,0.309160305344,8
Spain,Portugal,67,0.25572519084,8
Italy,Switzerland,64,0.24427480916,8
Ukraine,Russia,61,0.232824427481,8
Spain,England,60,0.229007633588,8
Italy,France,59,0.225190839695,7
Italy,Slovenia,58,0.221374045802,7
Italy,Belgium,56,0.213740458015,7
Italy,Romania,55,0.209923664122,7
Spain,Italy,51,0.19465648855,7
Slovakia,Czech Republic,51,0.19465648855,7
France,Spain,48,0.18320610687,7
Italy,Portugal,47,0.179389312977,7
England,Germany,45,0.171755725191,7
Brazil,Italy,43,0.164122137405,7
Argentina,Spain,41,0.156488549618,6
Italy,Argentina,40,0.152671755725,6
Sweden,Norway,39,0.148854961832,6
Spain,Brazil,37,0.141221374046,6
Italy,Greece,35,0.13358778626,6
Italy,Brazil,35,0.13358778626,6
Germany,Austria,35,0.13358778626,6
Netherlands,Belgium,33,0.125954198473,6
Portugal,France,33,0.125954198473,6
Spain,Greece,33,0.125954198473,6
Portugal,England,32,0.12213740458,5
England,Portugal,32,0.12213740458,5
Spain,Argentina,32,0.12213740458,5
England,Norway,31,0.118320610687,5
Spain,France,31,0.118320610687,5
France,Brazil,30,0.114503816794,5
Portugal,Turkey,30,0.114503816794,5
Greece,Cyprus,30,0.114503816794,5
Serbia,Montenegro,30,0.114503816794,5
England,Denmark,29,0.110687022901,4
Germany,Netherlands,29,0.110687022901,4
Serbia,Bosnia-Herzegovina,29,0.110687022901,4
Portugal,Romania,29,0.110687022901,4
Ukraine,Brazil,29,0.110687022901,4
Mexico,United States,28,0.106870229008,4
England,Wales,28,0.106870229008,4
Argentina,Chile,28,0.106870229008,4
Italy,Croatia,28,0.106870229008,4
France,Switzerland,28,0.106870229008,4
Germany,Brazil,27,0.103053435115,3
Russia,Brazil,27,0.103053435115,3
Uruguay,Brazil,27,0.103053435115,3
Belgium,France,27,0.103053435115,3
Russia,Ukraine,27,0.103053435115,3
Spain,Germany,27,0.103053435115,3
Germany,Switzerland,27,0.103053435115,3
Portugal,Argentina,26,0.0992366412214,2
Denmark,Norway,26,0.0992366412214,2
Brazil,United States,26,0.0992366412214,2
France,Germany,26,0.0992366412214,2
Portugal,Greece,26,0.0992366412214,2
Switzerland,Italy,26,0.0992366412214,2
Germany,England,26,0.0992366412214,2
Brazil,Japan,25,0.0954198473282,2
Brazil,Spain,24,0.0916030534351,2
Croatia,Italy,24,0.0916030534351,2
France,Italy,24,0.0916030534351,2
Norway,Sweden,23,0.087786259542,1
Argentina,Greece,23,0.087786259542,1
Italy,Turkey,23,0.087786259542,1
Germany,Turkey,23,0.087786259542,1
England,Greece,23,0.087786259542,1
Croatia,Bosnia-Herzegovina,22,0.0839694656489,1
Russia,Belarus,22,0.0839694656489,1
Italy,Germany,22,0.0839694656489,1
Russia,Kazakhstan,22,0.0839694656489,1
England,Turkey,22,0.0839694656489,1
Italy,Hungary,22,0.0839694656489,1
Austria,Germany,22,0.0839694656489,1
Croatia,Slovenia,21,0.0801526717557,0
France,Greece,21,0.0801526717557,0
Portugal,Belgium,21,0.0801526717557,0
Portugal,Italy,21,0.0801526717557,0
Argentina,Italy,20,0.0763358778626,0
England,United States,20,0.0763358778626,0
Italy,Netherlands,20,0.0763358778626,0
Brazil,Germany,20,0.0763358778626,0
Spain,Belgium,19,0.0725190839695,0
Brazil,"Korea, South",18,0.0687022900763,0
Belgium,Israel,18,0.0687022900763,0
