source,target,before,id,diff,value,decile
France,England,52.0,65,-0.392260757868,1.0,8
Spain,England,31.0,62,-0.0276172125883,0.953846153846,8
Netherlands,England,26.0,43,-0.195914233486,0.661538461538,8
Italy,England,21.0,42,-0.0276172125883,0.646153846154,8
Germany,Turkey,10.0,42,1.04200385356,0.646153846154,8
Scotland,England,37.0,42,-0.448107066604,0.646153846154,8
Germany,England,11.0,38,0.679570269166,0.584615384615,8
Spain,Italy,7.0,34,1.36150105514,0.523076923077,8
Portugal,Spain,9.0,34,0.836723042889,0.523076923077,8
Austria,Germany,9.0,32,0.728680510954,0.492307692308,8
Switzerland,Germany,18.0,28,-0.243702276458,0.430769230769,8
France,Spain,16.0,25,-0.240325947335,0.384615384615,8
Brazil,Italy,9.0,25,0.350531649183,0.384615384615,8
Portugal,England,12.0,23,-0.0681331620638,0.353846153846,8
England,Spain,14.0,23,-0.201256996055,0.353846153846,8
France,Italy,6.0,22,0.782701776921,0.338461538462,8
Argentina,Italy,7.0,22,0.528030094504,0.338461538462,8
Italy,Germany,4.0,21,1.55250481696,0.323076923077,8
England,Germany,8.0,21,0.276252408478,0.323076923077,8
Croatia,Italy,1.0,20,8.72382787412,0.307692307692,6
England,Turkey,4.0,20,1.43095696853,0.307692307692,6
Netherlands,Germany,18.0,19,-0.48679797331,0.292307692308,6
Italy,France,5.0,18,0.750289017341,0.276923076923,6
Italy,Spain,14.0,18,-0.374896779521,0.276923076923,6
England,Italy,8.0,18,0.0939306358382,0.276923076923,6
Brazil,Portugal,16.0,17,-0.483421644188,0.261538461538,6
France,Belgium,3.0,17,1.75508456433,0.261538461538,6
Belgium,England,11.0,17,-0.248613300636,0.261538461538,6
England,France,7.0,16,0.111294614185,0.246153846154,6
Portugal,Italy,1.0,16,6.77906229929,0.246153846154,6
Netherlands,Italy,4.0,15,0.823217726397,0.230769230769,6
Uruguay,Italy,3.0,15,1.43095696853,0.230769230769,6
Spain,Portugal,5.0,15,0.458574181118,0.230769230769,6
Spain,Germany,4.0,14,0.70166987797,0.215384615385,6
Netherlands,Belgium,4.0,14,0.70166987797,0.215384615385,6
Czech Republic,Germany,9.0,14,-0.243702276458,0.215384615385,6
France,Turkey,5.0,14,0.361335902376,0.215384615385,6
Argentina,Spain,22.0,14,-0.690605476733,0.215384615385,6
Germany,Italy,5.0,13,0.264097623635,0.2,4
Denmark,Netherlands,3.0,13,1.10682937273,0.2,4
Spain,Turkey,3.0,13,1.10682937273,0.2,4
Portugal,Turkey,2.0,13,2.16024405909,0.2,4
Portugal,France,5.0,13,0.264097623635,0.2,4
Norway,Germany,4.0,13,0.580122029544,0.2,4
Greece,Germany,1.0,12,4.83429672447,0.184615384615,4
Switzerland,Italy,1.0,12,4.83429672447,0.184615384615,4
France,Germany,5.0,12,0.166859344894,0.184615384615,4
Denmark,Germany,18.0,12,-0.675872404196,0.184615384615,4
Brazil,Ukraine,11.0,12,-0.469609388685,0.184615384615,4
Poland,Russia,3.0,12,0.944765574823,0.184615384615,4
Spain,France,7.0,11,-0.235984952748,0.169230769231,4
Bulgaria,Turkey,2.0,11,1.67405266538,0.169230769231,4
Poland,Germany,10.0,11,-0.465189466924,0.169230769231,4
Netherlands,Turkey,3.0,11,0.782701776921,0.169230769231,4
Germany,Spain,5.0,11,0.0696210661529,0.169230769231,4
Greece,Italy,3.0,10,0.620637979019,0.153846153846,2
Brazil,Spain,12.0,10,-0.594840505245,0.153846153846,2
Japan,Germany,1.0,10,3.86191393706,0.153846153846,2
Denmark,England,14.0,10,-0.652720433067,0.153846153846,2
Sweden,Netherlands,9.0,10,-0.459787340327,0.153846153846,2
Portugal,Russia,13.0,10,-0.626006620226,0.153846153846,2
Brazil,China,1.0,10,3.86191393706,0.153846153846,2
Sweden,Italy,1.0,10,3.86191393706,0.153846153846,2
Romania,Italy,3.0,10,0.620637979019,0.153846153846,2
Belgium,Spain,1.0,10,3.86191393706,0.153846153846,2
Switzerland,France,10.0,10,-0.513808606294,0.153846153846,2
Brazil,France,18.0,9,-0.756904303147,0.138461538462,0
Ireland,England,7.0,9,-0.374896779521,0.138461538462,0
Germany,France,1.0,9,3.37572254335,0.138461538462,0
Belgium,Germany,8.0,9,-0.453034682081,0.138461538462,0
Spain,Russia,1.0,9,3.37572254335,0.138461538462,0
Brazil,Russia,10.0,9,-0.562427745665,0.138461538462,0
Poland,Italy,1.0,9,3.37572254335,0.138461538462,0
Belgium,France,15.0,9,-0.708285163776,0.138461538462,0
Russia,Turkey,1.0,9,3.37572254335,0.138461538462,0
Argentina,Portugal,3.0,9,0.458574181118,0.138461538462,0
Switzerland,England,4.0,9,0.0939306358382,0.138461538462,0
Italy,Argentina,5.0,9,-0.124855491329,0.138461538462,0
Belarus,Russia,4.0,9,0.0939306358382,0.138461538462,0
France,Russia,4.0,9,0.0939306358382,0.138461538462,0
England,Russia,3.0,9,0.458574181118,0.138461538462,0
Netherlands,Portugal,1.0,9,3.37572254335,0.138461538462,0
Croatia,Belgium,4.0,8,-0.0276172125883,0.123076923077,0
Serbia,Italy,1.0,8,2.88953114965,0.123076923077,0
Netherlands,France,3.0,8,0.296510383216,0.123076923077,0
Ukraine,Brazil,1.0,8,2.88953114965,0.123076923077,0
Norway,Netherlands,1.0,8,2.88953114965,0.123076923077,0
Slovakia,Poland,1.0,8,2.88953114965,0.123076923077,0
Germany,Netherlands,3.0,8,0.296510383216,0.123076923077,0
Turkey,China,1.0,8,2.88953114965,0.123076923077,0
Poland,England,4.0,8,-0.0276172125883,0.123076923077,0
Sweden,Turkey,1.0,8,2.88953114965,0.123076923077,0
Ukraine,Russia,14.0,8,-0.722176346454,0.123076923077,0
Brazil,England,8.0,8,-0.513808606294,0.123076923077,0
Italy,Turkey,3.0,8,0.296510383216,0.123076923077,0
Belgium,Italy,2.0,8,0.944765574823,0.123076923077,0
Germany,Austria,7.0,8,-0.444352692908,0.123076923077,0
Germany,Denmark,6.0,8,-0.351744808392,0.123076923077,0
Norway,China,1.0,8,2.88953114965,0.123076923077,0
Bosnia-Herzegovina,Croatia,3.0,7,0.134446585314,0.107692307692,0
