source,target,before,id,diff,value,decile
Slovenia,Austria,79.0,202,1.55696202532,1.0,9
Croatia,Bosnia-Herzegovina,38.0,191,4.02631578947,0.945544554455,9
Serbia,Bosnia-Herzegovina,24.0,183,6.625,0.905940594059,9
Bosnia-Herzegovina,Croatia,53.0,162,2.05660377358,0.80198019802,9
Bosnia-Herzegovina,Serbia,13.0,137,9.53846153846,0.678217821782,9
Slovakia,Czech Republic,69.0,132,0.913043478261,0.653465346535,9
Czech Republic,Slovakia,59.0,120,1.03389830508,0.594059405941,9
Austria,Slovenia,26.0,110,3.23076923077,0.544554455446,9
Slovakia,Austria,17.0,109,5.41176470588,0.539603960396,9
Czech Republic,Austria,17.0,106,5.23529411765,0.524752475248,8
Croatia,Slovenia,36.0,106,1.94444444444,0.524752475248,8
Croatia,Austria,25.0,101,3.04,0.5,8
Hungary,Austria,26.0,71,1.73076923077,0.351485148515,8
Slovenia,Croatia,28.0,62,1.21428571429,0.306930693069,8
Czech Republic,Germany,15.0,62,3.13333333333,0.306930693069,8
Slovakia,Poland,9.0,55,5.11111111111,0.272277227723,8
Austria,Croatia,12.0,54,3.5,0.267326732673,8
Croatia,Germany,19.0,53,1.78947368421,0.262376237624,8
Serbia,Montenegro,15.0,53,2.53333333333,0.262376237624,8
England,Ireland,43.0,51,0.186046511628,0.252475247525,7
Poland,Germany,29.0,51,0.758620689655,0.252475247525,7
Serbia,Greece,17.0,48,1.82352941176,0.237623762376,7
Bosnia-Herzegovina,Austria,8.0,47,4.875,0.232673267327,7
Montenegro,Serbia,16.0,44,1.75,0.217821782178,7
Poland,Slovakia,7.0,41,4.85714285714,0.20297029703,7
Sweden,Norway,34.0,40,0.176470588235,0.19801980198,7
Austria,Hungary,16.0,40,1.5,0.19801980198,7
Ireland,England,20.0,39,0.95,0.193069306931,7
Croatia,Italy,3.0,35,10.6666666667,0.173267326733,7
Austria,Slovakia,14.0,35,1.5,0.173267326733,7
Slovenia,Italy,7.0,34,3.85714285714,0.168316831683,6
Romania,Hungary,30.0,34,0.133333333333,0.168316831683,6
Serbia,Hungary,24.0,34,0.416666666667,0.168316831683,6
Ireland,Northern Ireland,4.0,34,7.5,0.168316831683,6
Bulgaria,Greece,20.0,33,0.65,0.163366336634,6
Austria,Czech Republic,5.0,32,5.4,0.158415841584,6
Bosnia-Herzegovina,Germany,9.0,32,2.55555555556,0.158415841584,6
Sweden,Finland,11.0,30,1.72727272727,0.148514851485,5
Finland,Sweden,16.0,30,0.875,0.148514851485,5
Serbia,Kazakhstan,1.0,30,29.0,0.148514851485,5
Bosnia-Herzegovina,Czech Republic,5.0,30,5.0,0.148514851485,5
Hungary,Serbia,4.0,29,6.25,0.143564356436,5
Germany,Poland,36.0,29,-0.194444444444,0.143564356436,5
Czech Republic,Poland,13.0,28,1.15384615385,0.138613861386,5
Kazakhstan,Serbia,1.0,28,27.0,0.138613861386,5
